順位,ジャンル名,楽曲数,割合(%),代表曲例1,代表曲例2,代表曲例3
21,ポップ ボーカル,77,1.09,Enya - The Humming... (01-The Humming.flac),Enya - So I Could Find My Way (02-So I Could Find My Way.flac),Enya - Even In The Shadows (03-Even In The Shadows.flac)
22,フォーク (日本),70,0.99,Unknown - 01-恋しくて (01-恋しくて.wma),Unknown - 02-Blue Snow (02-Blue Snow.wma),Unknown - 03-YOU (03-YOU.wma)
23,ブラジリアンポップ,67,0.95,"Ithamara Koorax(vo), 岡安芳明(g) - Summer Samba (01-Summer Samba.flac)","Ithamara Koorax(vo), 原朋直(trp) - Corcovado (02-Corcovado.flac)","Ithamara Koorax(vo), 中川英二郎(tbn) - The Girl From Ipanema (03-The Girl From Ipanema.flac)"
24,アニメ映画,61,0.86,大野雄二 - Theme From Lupin The Third 2010 ～ルパン三世のテーマ～ (01-Theme From Lupin The Third 2010 ～ルパン三世のテーマ～.flac),大野雄二 - THEME FROM LUPIN THE THIRD (Cool Relaxin' Ver) (02-THEME FROM LUPIN THE THIRD (Cool Relaxin' Ver).flac),大野雄二 - ルパン三世のテーマ ～2011 Action Version～ (03-ルパン三世のテーマ ～2011 Action Version～.flac)
25,TV音楽,61,0.86,大野雄二 - Theme From Lupin The Third 2010 ～ルパン三世のテーマ～ (01-Theme From Lupin The Third 2010 ～ルパン三世のテーマ～.flac),大野雄二 - THEME FROM LUPIN THE THIRD (Cool Relaxin' Ver) (02-THEME FROM LUPIN THE THIRD (Cool Relaxin' Ver).flac),大野雄二 - ルパン三世のテーマ ～2011 Action Version～ (03-ルパン三世のテーマ ～2011 Action Version～.flac)
26,クラシック (一般),51,0.72,"辻井伸行; 佐渡裕: ベルリン・ドイツ交響楽団 - ラフマニノフ: ピアノ協奏曲 #2 ハ短調, Op. 18 - 1. Moderato (01-ラフマニノフ_ ピアノ協奏曲 #2 ハ短調, Op_ 18 - 1_ Moderato.mp3)","辻井伸行; 佐渡裕: ベルリン・ドイツ交響楽団 - ラフマニノフ: ピアノ協奏曲 #2 ハ短調, Op. 18 - 2. Adagio Sostenuto (02-ラフマニノフ_ ピアノ協奏曲 #2 ハ短調, Op_ 18 - 2_ Adagio Sostenuto.mp3)","辻井伸行; 佐渡裕: ベルリン・ドイツ交響楽団 - ラフマニノフ: ピアノ協奏曲 #2 ハ短調, Op. 18 - 3. Allegro Scherzando (03-ラフマニノフ_ ピアノ協奏曲 #2 ハ短調, Op_ 18 - 3_ Allegro Scherzando.mp3)"
27,Classical,50,0.71,"Capella Istropolitana - Canon & Gigue in D Major, P. 37: Canon (01 - Canon & Gigue in D Major, P. 37_ Canon.mp3)","Kölner Kammerorchester - Orchestral Suite No. 3 in D Major, BWV 1068: Air (""On a G String"") (02 - Orchestral Suite No. 3 in D Major, BWV 1068_ Air (_On a G String_).mp3)","Balázs Szokolay - Fantasy-impromptu in C-Sharp Minor, Op. 66 (03 - Fantasy-impromptu in C-Sharp Minor, Op. 66.mp3)"
28,パンク (一般),49,0.69,THE BLUE HEARTS - 1985 (01-1985.flac),THE BLUE HEARTS - 人にやさしく (02-人にやさしく.flac),THE BLUE HEARTS - リンダリンダ (03-リンダリンダ.flac)
29,オルタナティブ ロック,48,0.68,Puss N Boots - Jamola (01-Jamola.flac),Puss N Boots - It's Not Easy (02-It's Not Easy.flac),Puss N Boots - Nothing You Can Do (03-Nothing You Can Do.flac)
30,サウンドトラック (映画),46,0.65,Unknown - 01-Frozen Heart (01-Frozen Heart.wma),Unknown - 02-Do You Want To Build A Snowman_ (02-Do You Want To Build A Snowman_.wma),Unknown - 03-For The First Time In Forever (03-For The First Time In Forever.wma)
31,シンガーソングライター,45,0.64,Eric Clapton - Blue Eyes Blue (01-Blue Eyes Blue.flac),Eric Clapton - Change The World (02-Change The World.flac),Eric Clapton - Layla (05-Layla.flac)
32,アダルト オルタナティブ ロック,45,0.64,Lenny Kravitz - Live (01-Live.flac),Lenny Kravitz - Supersoulfighter (02-Supersoulfighter.flac),Lenny Kravitz - I Belong To You (03-I Belong To You.flac)
33,フォークロック,41,0.58,Unknown - 01-Imagine (01-Imagine.wma),Unknown - 02-Instant Karma (02-Instant Karma.wma),Unknown - 03-Mother (Single Edit) (03-Mother (Single Edit).wma)
34,ブルース ロック,37,0.52,Eric Clapton - Motherless Children (01-Motherless Children.flac),Eric Clapton - Give Me Strength (02-Give Me Strength.flac),Eric Clapton - Willie And The Hand Jive (03-Willie And The Hand Jive.flac)
35,クワイエットストーム,37,0.52,平井堅 - Introduction -HERE COMES K.H.- (01-Introduction -HERE COMES K.H.-.flac),平井堅 - Love Love Love (02-Love Love Love.flac),平井堅 - why (03-why.flac)
36,ハード バップ,36,0.51,Art Blakey & The Jazz Messengers - Warm-Up And Dialogue Between Lee Morgan And Rudy Van Gelder (01-Warm-Up And Dialogue Between Lee Morgan And Rudy Van Gelder.flac),Art Blakey & The Jazz Messengers - Moanin' (02-Moanin'.flac),Art Blakey & The Jazz Messengers - Are You Real? (03-Are You Real_.flac)
37,サウンドトラック (テレビ),36,0.51,Unknown - 01-We Are Never Ever Getting Back Together (01-We Are Never Ever Getting Back Together.wma),Unknown - 02-Santeria (02-Santeria.wma),Unknown - 03-Heartbeat (03-Heartbeat.wma)
38,カントリー ロック,35,0.49,Eagles - Doolin Dalton (01-Doolin Dalton.flac),Eagles - Twenty-One (02-Twenty-One.flac),Eagles - Out Of Control (03-Out Of Control.flac)
39,アシッド ジャズ,34,0.48,Jamiroquai - When You Gonna Learn (01-When You Gonna Learn.flac),Jamiroquai - Too Young To Die (02-Too Young To Die.flac),Jamiroquai - Blow Your Mind (03-Blow Your Mind.flac)
40,アニメ,33,0.47,大野雄二トリオ Feat. Lyn - LET'S FALL IN JAZZ (01-LET'S FALL IN JAZZ.flac),大野雄二 with フレンズ - Isn't It More Lupintic? (05-Isn't It More Lupintic_.flac),大野雄二 with フレンズ - Theme From Lupin III [More Lupintic Version] (07-Theme From Lupin III [More Lupintic Version].flac)
41,DOMESTIC(J-POPS),33,0.47,Unknown - 01 時代 (01 時代.wma),Unknown - 02 最後の女神 (02 最後の女神.wma),Unknown - 03 ジェラシー・ジェラシー (03 ジェラシー・ジェラシー.wma)
42,ビバップ,32,0.45,Duke Jordan - No Problem (01-No Problem.flac),Duke Jordan - Here's that Rainy Day (02-Here's that Rainy Day.flac),Duke Jordan - Everything Happens to Me (03-Everything Happens to Me.flac)
43,ヒップ ホップ (一般),30,0.42,Bruno Mars - Grenade (01-Grenade.mp3),Bruno Mars - Just The Way You Are (02-Just The Way You Are.mp3),Bruno Mars - Our First Time (03-Our First Time.mp3)
44,ソフト ロック,29,0.41,Billy Joel - Tell Her About It (01 Tell Her About It.mp3),Billy Joel - Uptown Girl (02 Uptown Girl.mp3),Billy Joel - Don't Ask Me Why (03 Don't Ask Me Why.mp3)
45,オルタナティブ (一般),29,0.41,fun. - Some Nights (Intro) (01 Some Nights (Intro).mp3),fun. - Some Nights (02 Some Nights.mp3),fun. Feat. Janelle Monáe - We Are Young (03 We Are Young.mp3)
46,R&B,28,0.4,Unknown - 01 幸せの扉 (01 幸せの扉.wma),Unknown - 02 日だまりにて (02 日だまりにて.wma),Unknown - 03 仮面ライター (03 仮面ライター.wma)
47,クラシック モータウン,26,0.37,Michael Jackson - Billie Jean (01-Billie Jean.flac),Michael Jackson - The Way You Make Me Feel (02-The Way You Make Me Feel.flac),Michael Jackson - Black Or White (03-Black Or White.flac)
48,ビッグ バンド,25,0.35,Quincy Jones & His Orchestra - Soul Bossa Nova (01-Soul Bossa Nova.flac),Quincy Jones & His Orchestra - Boogie Stop Shuffle (02-Boogie Stop Shuffle.flac),Quincy Jones & His Orchestra - Desafinado (03-Desafinado.flac)
49,データ & その他,23,0.32,Louis Armstrong - Hello Dolly (01-Hello Dolly.flac),Louis Armstrong - Blueberry Hill (02-Blueberry Hill.flac),Louis Armstrong - Mame (03-Mame.flac)
50,アダルト オルタナティブ ポップ,22,0.31,Rudimental Feat. Ed Sheeran - Lay It All On Me (18-Lay It All On Me.flac),Sean Bones Feat. Norah Jones - Turn Them (03-Turn Them.flac),Sean Bones Feat. Norah Jones - Turn Them (03-Turn Them.flac)
51,ジャズ ファンク,22,0.31,Yuji Ohno & Lupintic Five - Theme From Lupin III ～ルパン三世のテーマ～ (30th JAZZ Version) (11-Theme From Lupin III ～ルパン三世のテーマ～ (30th JAZZ Version).flac),You & Explosion Band - ルパン三世のテーマ (第1～26話使用タイプ) (01-ルパン三世のテーマ (第1～26話使用タイプ).flac),You & Explosion Band - ルパン三世 愛のテーマ (第1～26話使用タイプ) (02-ルパン三世 愛のテーマ (第1～26話使用タイプ).flac)
52,アコースティック ポップ,21,0.3,Unknown - 01-Yesterday Once More (01-Yesterday Once More.wma),Unknown - 02-Please Mr_ Postman (02-Please Mr_ Postman.wma),Unknown - 03-Top Of The World (03-Top Of The World.wma)
53,クリスマス,20,0.28,Unknown - 01-Happy Christmas (War Is Over) (01-Happy Christmas (War Is Over).wma),Unknown - 02-Last Christmas (02-Last Christmas.wma),Unknown - 03-Wonderful Christmastime (03-Wonderful Christmastime.wma)
54,カントリー (一般),19,0.27,Taylor Swift - Jump Then Fall (01 Jump Then Fall.mp3),Taylor Swift - Untouchable (02 Untouchable.mp3),Taylor Swift - Forever & Always [Piano Version] (03 Forever & Always [Piano Version].mp3)
55,イージー リスニング (一般),19,0.27,Unknown - 01-タイム・トゥ・セイ・グッバイ (ソロ・ヴァージョン) (01-タイム・トゥ・セイ・グッバイ (ソロ・ヴァージョン).wma),Unknown - 02-神々の詩 (ブルガリアン・ヴァージョン) (02-神々の詩 (ブルガリアン・ヴァージョン).wma),Unknown - 03-New Asia (03-New Asia.wma)
56,ブリティッシュ ブルース ロック,18,0.25,Cream - White Room (01-White Room.flac),Cream - Sitting On Top Of The World (02-Sitting On Top Of The World.flac),Cream - Passing The Time (03-Passing The Time.flac)
57,Easy Listening,18,0.25,Unknown - 01 崖の上のポニョ（崖の上のポニョ） (01 崖の上のポニョ（崖の上のポニョ）.wma),Unknown - 02 海のおかあさん（崖の上のポニョ） (02 海のおかあさん（崖の上のポニョ）.wma),Unknown - 03 風の谷のナウシカ（風の谷のナウシカ） (03 風の谷のナウシカ（風の谷のナウシカ）.wma)
58,ピアノ,17,0.24,Unknown - 01_夜想曲第2番 (01_夜想曲第2番.wma),Unknown - 02_ワルツ第6番(子犬のワルツ) (02_ワルツ第6番(子犬のワルツ).wma),Unknown - 03_ワルツ第7番 (03_ワルツ第7番.wma)
59,クラシック ポップ-ロック,17,0.24,Eric Clapton - My Father's Eyes (03-My Father's Eyes.flac),Eric Clapton - Tears In Heaven (04-Tears In Heaven.flac),Eric Clapton - Reptile (01-Reptile.flac)
60,クール ジャズ,17,0.24,Jim Hall - You'd Be So Nice To Come Home To (01-You'd Be So Nice To Come Home To.flac),Jim Hall - Two's Blues (02-Two's Blues.flac),Jim Hall - The Answer Is Yes (03-The Answer Is Yes.flac)
61,ポップ ジャズ,17,0.24,Sting - When We Dance (01-When We Dance.flac),Sting - If You Love Somebody Set Them Free (02-If You Love Somebody Set Them Free.flac),Sting - Fields Of Gold (03-Fields Of Gold.flac)
62,プログレッシブ ハウス,16,0.23,Avicii - Waiting For Love (01-Waiting For Love.mp3),Avicii - Talk To Myself (02-Talk To Myself.mp3),Avicii - Touch Me (03-Touch Me.mp3)
63,その他,16,0.23,Unknown - 01 風の谷のナウシカ (01 風の谷のナウシカ.wma),Unknown - 02 君をのせて (02 君をのせて.wma),Unknown - 03 さんぽ (03 さんぽ.wma)
64,ダンス (一般),15,0.21,Avicii - Wake Me Up (01-Wake Me Up.mp3),Avicii - You Make Me (02-You Make Me.mp3),Avicii - Hey Brother (03-Hey Brother.mp3)
65,ニュー エイジ (一般),15,0.21,Enya - Oriel Window (extra Track For Japan) (12-Oriel Window (extra Track For Japan).flac),Unknown - 01-雪と氷の旋律 (01-雪と氷の旋律.wma),Unknown - 02-ジャーニー・オブ・ジ・エンジェルズ (02-ジャーニー・オブ・ジ・エンジェルズ.wma)
66,Pop,15,0.21,Every Little Thing - Feel My Heart (01 Feel My Heart.m4a),Every Little Thing - Future World (02 Future World.m4a),Every Little Thing - Dear My Friends (03 Dear My Friends.m4a)
67,エレクトロニック (一般),15,0.21,The Chainsmokers - The One (01-The One.mp3),The Chainsmokers - Break Up Every Night (02-Break Up Every Night.mp3),The Chainsmokers - Bloodstream (03-Bloodstream.mp3)
68,Soul,15,0.21,Unknown - 01 Open (01 Open.wma),Unknown - 02 Even If (Instrumental) (02 Even If (Instrumental).wma),Unknown - 03 The Rose (03 The Rose.wma)
69,ハード ロック,14,0.2,Bon Jovi - I Believe (01-I Believe.mp3),Bon Jovi - Keep The Faith (02-Keep The Faith.mp3),Bon Jovi - I'll Sleep When I'm Dead (03-I'll Sleep When I'm Dead.mp3)
70,ポップ ソウル,14,0.2,Michael Jackson - Jam (01-Jam.flac),Michael Jackson - Why You Wanna Trip On Me (02-Why You Wanna Trip On Me.flac),Michael Jackson - In The Closet (03-In The Closet.flac)
71,ティーン ポップ,14,0.2,Shawn Mendes - In My Blood (01-In My Blood.mp3),Shawn Mendes - Nervous (02-Nervous.mp3),Shawn Mendes - Lost In Japan (03-Lost In Japan.mp3)
72,コンテンポラリー ブルース,13,0.18,B.B. King & Eric Clapton - Riding With The King (15-Riding With The King.flac),B.B. King & Eric Clapton - Riding With The King (01-Riding With The King.flac),B.B. King & Eric Clapton - Ten Long Years (02-Ten Long Years.flac)
73,歌謡曲,13,0.18,ピートマック・ジュニア - ルパン三世のテーマ (2005ニュー・ミックス) (06-ルパン三世のテーマ (2005ニュー・ミックス).flac),ピートマック・ジュニア - ルパン三世のテーマ (第27～51話使用タイプ) (03-ルパン三世のテーマ (第27～51話使用タイプ).flac),河合奈保子 - MANHATTAN JOKE (13-MANHATTAN JOKE.flac)
74,ワールド ジャズ,13,0.18,綾戸智恵 meets 原信夫とシャープスアンドフラッツ - Work Song (01-Work Song.flac),綾戸智恵 meets 原信夫とシャープスアンドフラッツ - Just In Time (02-Just In Time.flac),綾戸智恵 meets 原信夫とシャープスアンドフラッツ - The Way You Make Me Feel (03-The Way You Make Me Feel.flac)
75,アーバンクロスオーバー: ポップ,12,0.17,Camila Cabello - Never Be The Same (01-Never Be The Same.mp3),Camila Cabello - All These Years (02-All These Years.mp3),Camila Cabello - She Loves Control (03-She Loves Control.mp3)
76,ディズニー,12,0.17,Disney - It Don't Mean A Thing (01-It Don't Mean A Thing(1).flac),Disney - It Don't Mean A Thing (01-It Don't Mean A Thing.flac),Good Buddies - When You Wish Upon A Star (02-When You Wish Upon A Star(1).flac)
77,MPB,12,0.17,Marcos Valle - Flamengo Até Morrer (01-Flamengo Até Morrer.flac),"Marcos Valle - Nem Paletó, Nem Gravata (02-Nem Paletó, Nem Gravata.flac)",Marcos Valle - Tira A Mão (03-Tira A Mão.flac)
78,アメリカーナ,12,0.17,Billie Joe & Norah - Roving Gambler (01-Roving Gambler.flac),Billie Joe & Norah - Long Time Gone (02-Long Time Gone.flac),Billie Joe & Norah - Lightning Express (03-Lightning Express.flac)
79,ポップ,12,0.17,Unknown - 01 思いがかさなるその前に・・・ (01 思いがかさなるその前に・・・.wma),Unknown - 02 ｊｅａｌｏｕｓｙ (02 ｊｅａｌｏｕｓｙ.wma),Unknown - 03 言わない関係 (03 言わない関係.wma)
80,ブリット ポップ,11,0.16,Coldplay - Always In My Head (01-Always In My Head.mp3),Coldplay - Magic (02-Magic.mp3),Coldplay - Ink (03-Ink.mp3)
81,ロック (一般),11,0.16,Coldplay - Life In Technicolor (01-Life In Technicolor.mp3),Coldplay - Cemeteries Of London (02-Cemeteries Of London.mp3),Coldplay - Lost! (03-Lost!.mp3)
82,トラディショナル ゴスペル,11,0.16,TAEKO - Ugetsu:Fantasy (01-Ugetsu_Fantasy.flac),TAEKO - Left Alone (02-Left Alone.flac),TAEKO - Contemplation (03-Contemplation.flac)
83,クラシック ソロ インストゥルメンタル,10,0.14,中西俊博 - 不思議の国のアリス《ALICE IN WONDERLAND》 (03-不思議の国のアリス《ALICE IN WONDERLAND》.flac),Yo-Yo Ma - リベルタンゴ (03-リベルタンゴ.flac),千住明 Feat. 千住真理子 - 世紀末の詩 (18-世紀末の詩.flac)
84,クラシック (日本),10,0.14,Unknown - 01_ため息（3つの演奏会用練習曲 S.144の3） (01_ため息（3つの演奏会用練習曲 S.144の3）.wma),Unknown - 02_ラ・カンパネラ（パガニーニによる大練習曲 S.141の3） (02_ラ・カンパネラ（パガニーニによる大練習曲 S.141の3）.wma),Unknown - 03_小鳥に説教するアッシジの聖フランシス（伝説 S.175の1） (03_小鳥に説教するアッシジの聖フランシス（伝説 S.175の1）.wma)
85,Classic,10,0.14,Unknown - 01 交響詩「ツァラトゥストラはかく語りき」～冒頭部分 (01 交響詩「ツァラトゥストラはかく語りき」～冒頭部分.wma),Unknown - 02 交響曲第９番「新世界より」～第２楽章 (02 交響曲第９番「新世界より」～第２楽章.wma),Unknown - 03 組曲「くるみ割り人形」～花のワルツ (03 組曲「くるみ割り人形」～花のワルツ.wma)
86,映画音楽 (一般),9,0.13,Billy Crystal & John Goodman - If I Didn't Have You (12-If I Didn't Have You.flac),James Horner - ローズ (08-ローズ.flac),Ennio Morricone - 愛を奏でて (11-愛を奏でて.flac)
87,クラシック ロック,8,0.11,Eric Clapton - Wonderful Tonight (15-Wonderful Tonight.flac),Derek & The Dominos - Bell Bottom Blues (09-Bell Bottom Blues.flac),Derek & The Dominos - Layla (10-Layla.flac)
88,スウィング リバイバル,8,0.11,"Teddy Wilson, Eiji Kitamura, Yukio Ikezawa, Hiroshi Sunaga - It's Been A Long Long Time (01-It's Been A Long Long Time.flac)","Teddy Wilson, Yukio Ikezawa, Hiroshi Sunaga - Stompin'At The Savoy (02-Stompin'At The Savoy.flac)","Teddy Wilson, Eiji Kitamura, Yukio Ikezawa, Hiroshi Sunaga - Sweet Lorraine (03-Sweet Lorraine.flac)"
89,ラテン ジャズ,8,0.11,Marcelo Rezende - Mrs. Robinson (01-Mrs. Robinson.flac),Carol & Zeca Rodrigues - Take My Breath Away (03-Take My Breath Away.flac),Tattyana - Don't Worry Be Happy (04-Don't Worry Be Happy.flac)
90,フォーク,7,0.1,Unknown - 01 この空を飛べたら (01 この空を飛べたら.wma),Unknown - 02 地上の星 (02 地上の星.wma),Unknown - 03 土用波 (03 土用波.wma)
91,ブラジル,6,0.08,Unknown - 01-Habatake! (01-Habatake!.wma),Unknown - 02-Bridge (02-Bridge.wma),Unknown - 03-Mambolero (03-Mambolero.wma)
92,アーバン クロスオーバー,5,0.07,Camila Cabello Feat. Young Thug - Havana (04-Havana.mp3),Michael Jackson & Janet Jackson - Scream (01-Scream.flac),Michael Jackson Feat. The Notorious B.I.G. - This Time Around (04-This Time Around.flac)
93,アシッド ロック,4,0.06,Big Brother & The Holding Company - Piece Of My Heart (01-Piece Of My Heart.flac),Big Brother & The Holding Company - Summertime (02-Summertime.flac),Big Brother & The Holding Company - Down On Me [Live] (06-Down On Me [Live].flac)
94,コンシャス ヒップホップ,4,0.06,Q-Tip Feat. Norah Jones - Life Is Better (09-Life Is Better.flac),Talib Kweli Feat. Norah Jones - Soon The New Day (10-Soon The New Day.flac),
95,ラップ,4,0.06,Q-Tip Feat. Norah Jones - Life Is Better (09-Life Is Better.flac),Talib Kweli Feat. Norah Jones - Soon The New Day (10-Soon The New Day.flac),
96,クラシック ボーカル ポップ (男性),3,0.04,Robert Goulet - You've Got A Friend In Me (Wheezy's Version) (08-You've Got A Friend In Me (Wheezy's Version).flac),Steve Tyrell - Ev'rybody Wants To Be A Cat (11-Ev'rybody Wants To Be A Cat.flac),Steve Tyrell - Cruella De Vil (13-Cruella De Vil.flac)
97,オルタナティブ シンガーソングライター,3,0.04,Norah Jones Feat. M. Ward - Hands On The Wheel [Live] (07-Hands On The Wheel [Live].flac),Norah Jones Feat. M. Ward - Blue Bayou [Live] (18-Blue Bayou [Live].flac),Norah Jones Feat. M. Ward - Blue Bayou [Live] (18-Blue Bayou [Live].flac)
98,クラシカルクロスオーバー (一般),3,0.04,葉加瀬太郎 - エトピリカ (02-エトピリカ.flac),古澤巌 With アサド兄弟 - ニューシネマ・パラダイス (09-ニューシネマ・パラダイス.flac),葉加瀬太郎 with 小松亮太 - 情熱大陸 (16-情熱大陸.flac)
99,コンテンポラリー インストゥルメンタル,3,0.04,加古隆 - パリは燃えているか (05-パリは燃えているか.flac),加古隆 - 黄昏のワルツ (12-黄昏のワルツ.flac),André Gagnon - 溢れる愛のなかでも (07-溢れる愛のなかでも.flac)
100,クラシカル クロスオーバー: 声楽,3,0.04,Charlotte Church - ピエ・イエズ (10-ピエ・イエズ.flac),Adiemus Singers - 世紀を越えて (MAKARE KAMA) (01-世紀を越えて (MAKARE KAMA).flac),Sarah Brightman & The London Symphony Orchestra Feat. Andrea Bocelli - Time to Say Goodbye (Con Te Partiro) (09-Time to Say Goodbye (Con Te Partiro).flac)
101,オルタナティブ カントリー,2,0.03,The Little Willies - Love Me (01-Love Me.flac),The Little Willies - Love Me (01-Love Me.flac),
102,トゥイー ポップ,2,0.03,"Belle & Sebastian Feat. Norah Jones - Little Lou, Prophet Jack, Ugly John (11-Little Lou, Prophet Jack, Ugly John.flac)","Belle & Sebastian Feat. Norah Jones - Little Lou, Prophet Jack, Ugly John (11-Little Lou, Prophet Jack, Ugly John.flac)",
103,カントリー ポップ,2,0.03,Norah Jones Feat. Dolly Parton - Creepin' In (15-Creepin' In.flac),Norah Jones Feat. Dolly Parton - Creepin' In (15-Creepin' In.flac),
104,ハワイ,2,0.03,サンドラ・ホーン - ラヴ・スコール (06-ラヴ・スコール.flac),サンドラ・ホーン - ラヴ・スコール <TVサイズ> (21-ラヴ・スコール _TVサイズ_.flac),
105,日本伝統音楽 (一般),2,0.03,三波春夫 - ルパン音頭 (09-ルパン音頭.flac),三波春夫 - 銭形マーチ (10-銭形マーチ.flac),
106,テレビ音楽 (一般),2,0.03,小西康陽 - ルパン三世主題歌 I / II [readymade all that jazz!] (12-ルパン三世主題歌 I _ II [readymade all that jazz!].flac),羽毛田丈史 - 地球に乾杯 (06-地球に乾杯.flac),
107,その他のクラシック インストゥルメンタル,2,0.03,Sabine Meyer; Hans Vonk: Staatskapelle Dresden - クラリネット協奏曲～第2楽章 (16-クラリネット協奏曲～第2楽章.mp3),"Maurice André, Jane Parker-Smith - ラルゴ (19-ラルゴ.mp3)",
108,サイケデリック ロック,1,0.01,Blind Faith - Presence Of The Lord (06-Presence Of The Lord.flac),,
109,ルーツ ロック,1,0.01,J.J. Cale & Eric Clapton - Ride The River (17-Ride The River.flac),,
110,クラシック スウィング,1,0.01,Teddy Wilson - Narration (06-Narration.flac),,
111,モダン スカ,1,0.01,東京スカパラダイスオーケストラ - ルパン三世'78 (02-ルパン三世'78.flac),,
112,クラブ ダンス,1,0.01,岩村学 - サンバ・テンペラード [cinema-edit] (03-サンバ・テンペラード [cinema-edit].flac),,
